Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,isol_growth_condt,STRAIN,num_replicons,ref_biomaterial,host_subject_id,Source_material_ID,Cultivar,Ecotype,isolate
SRR9220017,WGS,261,721859579,PRJNA544527,SAMN11848620,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",322087493,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-12-03,public,"sra,fastq,realign,wgmlst_sig","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990438,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0001_0092_d6,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2019-07-31T00:00:00Z,am_0001_0092_d6,SRP200548,missing,BIOML-A23,missing,missing,,,,,
SRR9220019,WGS,260,845852909,PRJNA544527,SAMN11848622,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",380047251,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-12-03,public,"realign,sra,wgmlst_sig,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990436,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0001_0092_e10,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2019-07-31T00:00:00Z,am_0001_0092_e10,SRP200548,missing,BIOML-A25,missing,missing,,,,,
SRR9220022,WGS,274,770606495,PRJNA544527,SAMN11848496,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",308833730,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-04-01,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990433,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,af_0058_0044_e1,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-07-31T00:00:00Z,af_0058_0044_e1,SRP200548,missing,BIOML-A2,missing,missing,,,,,
SRR9220023,WGS,287,791906446,PRJNA544527,SAMN11848495,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",324038811,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-04-01,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990432,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,af_0058_0044_a5,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2019-07-31T00:00:00Z,af_0058_0044_a5,SRP200548,missing,BIOML-A1,missing,missing,,,,,
SRR9220025,WGS,275,1048243674,PRJNA544527,SAMN11848501,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",410239885,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-15,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990430,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,an_0080_0048_a5,PAIRED,RANDOM,GENOMIC,Enterococcus hirae,ILLUMINA,2019-07-31T00:00:00Z,an_0080_0048_a5,SRP200548,missing,BIOML-A4,missing,missing,,,,,
SRR9220027,WGS,286,547825345,PRJNA544527,SAMN11848499,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",222257308,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-15,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990428,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,an_0080_0048_a2,PAIRED,RANDOM,GENOMIC,Enterococcus hirae,ILLUMINA,2019-07-31T00:00:00Z,an_0080_0048_a2,SRP200548,missing,BIOML-A2,missing,missing,,,,,
SRR9220028,WGS,253,1124024807,PRJNA544527,SAMN11848504,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",433321482,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-15,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990427,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,an_0080_0048_b3,PAIRED,RANDOM,GENOMIC,Enterococcus hirae,ILLUMINA,2019-07-31T00:00:00Z,an_0080_0048_b3,SRP200548,missing,BIOML-A7,missing,missing,,,,,
SRR9220029,WGS,282,2464913683,PRJNA544527,SAMN11848503,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",1008816172,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-15,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990426,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,an_0080_0048_a8,PAIRED,RANDOM,GENOMIC,Enterococcus hirae,ILLUMINA,2019-07-31T00:00:00Z,an_0080_0048_a8,SRP200548,missing,BIOML-A6,missing,missing,,,,,
SRR9220032,WGS,282,617133016,PRJNA544527,SAMN11848097,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",264131441,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-02-19,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990423,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,cx_0004_0082_h9,PAIRED,RANDOM,GENOMIC,Bifidobacterium longum,ILLUMINA,2019-07-31T00:00:00Z,cx_0004_0082_h9,SRP200548,missing,BIOML-A423,missing,missing,,,,,
SRR9220034,WGS,267,1173291349,PRJNA544527,SAMN11848099,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",492469988,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-07-04,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990421,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,aa_0143_0081_b1,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,aa_0143_0081_b1,SRP200548,missing,BIOML-A2,missing,missing,,,,,
